,lat,lon,name
0,40.7566,-73.98483,Jimmy's Corner
1,40.765356,-73.984113,Barcelona Bar
2,40.76004,-73.99182,Rudy's Bar & Grill
3,40.73787,-74.0016799,Johnny's Bar
4,40.7226142883,-73.9863433838,The Library
5,40.75454,-73.97326,Snafu
6,40.70814,-74.00495,Iron Horse NYC
7,40.7979207,-73.9692688,Broadway Dive Bar
8,40.75027,-73.99835,Billymark's West
9,40.7445145623,-73.9940418298,One Star
10,40.756679,-73.993507,Holland Bar
11,40.714877,-74.008306,The Patriot Saloon
12,40.7299112,-73.981883,Keybar
13,40.72884,-73.98965,McSorleys Old Ale House
14,40.79422,-73.94006,The Duck
15,40.72063,-74.00499,Nancy Whiskey Pub
16,40.73245,-73.98821,Bar None
17,40.716267,-73.989698,Old Man Hustle
18,40.7322235107,-74.0013046265,The Four-Faced Liar
19,40.749947565,-73.9765724932,Peter Dillon's
20,40.72454,-73.99463,Milano's Bar
21,40.715394,-73.990103,Clockwork Bar
22,40.77091,-73.95409,American Trash
23,40.71951,-73.99352,Home Sweet Home
24,40.7204,-73.98793,Local 138
25,40.70372,-74.01237,White Horse Tavern - Financial District
26,40.722526,-73.985748,Double Down Saloon
27,40.70766,-74.00205,Jeremy's Ale House- South Street Seaport
28,40.7278,-73.9848,The Hard Swallow
29,40.728454,-73.978988,B Side
30,40.75688,-73.99343,Blue Ruin
31,40.756262,-73.928487,Mad Donkey Beer Bar & Grill
32,40.71967,-73.9873,Welcome to the Johnson's
33,40.72294,-74.04738,Lucky 7
34,40.80214,-73.96406,Lion's Head Tavern
35,40.76245,-73.99011,Gaf West
36,40.727668,-73.990486,Scratcher
37,40.72459,-73.99478,Botanica Bar
38,40.72717,-73.98591,Tile Bar
39,40.73365,-74.00316,Fat Cat Music
40,40.7202,-73.98819,Iggy's Keltic Lounge
41,40.80335,-73.96402,1020 Bar
42,40.724807,-73.983703,Sophie's
43,40.72993,-73.9809,Drop Off Service
44,40.7272274,-73.9828253,Doc Holliday's
45,40.68582,-73.99096,Boat Bar
46,40.72828,-73.99914,Peculier Pub
47,40.7003517876,-73.9161294247,Boobie Trap
48,40.7177429199,-73.9581451416,Greenpoint Tavern
49,40.713838,-73.98976,Charles Hanson's 169 Soul Jazz Oyster Bar
50,40.735622,-74.000244,Greenwich Treehouse
51,40.74727,-74.03595,DC's Tavern
52,40.7836032417,-73.9474270737,Merrion Square Pub
53,40.7108603,-74.0069833,Nassau Bar
54,40.7258491516,-73.9843063354,Cherry Tavern
55,40.742118,-74.00119,Flight 151
56,40.72727,-73.97987,Lucky
57,40.72466,-73.981235,Manitoba's
58,40.729765,-73.957326,Pencil Factory Bar
59,40.70885,-73.95787,Duff's Brooklyn
60,40.7310549788,-73.9857779397,12th Street Ale House
61,40.6749,-73.98118,High Dive
62,40.7607294903,-73.9162476361,The Local
63,40.74088,-74.02948,Louise & Jerry's
64,40.7206434532,-73.9871944405,Two-Bit's Retro Arcade
65,40.7272,-73.98937,Fish Bar
66,40.729198,-73.978523,Mona's
67,40.76280769,-73.9932782368,Dive Bar Lounge
68,40.70269,-73.9868,68 Jay St Bar
69,40.78102,-73.94909,Biddy's Pub
70,40.7344816625,-74.0017075092,Julius
71,40.771091,-73.956291,Iggy's
72,40.73543,-74.00585,WXOU Radio Bar
73,40.73917,-74.00151,Wood and Ales
74,40.73247,-74.00163,Down the Hatch
75,40.72993,-74.00082,Off The Wagon
76,40.7073826343,-73.9430382103,duckduck
77,40.78328,-74.03291,Jimmy D's Blues Saloon
78,40.7391774,-73.9201431,The Jar Bar
79,40.74414,-73.98307,Desmond's Tavern
80,40.72707,-73.983099,Lucy's
81,40.73694,-74.0303799,Wilton House
82,40.73323,-74.00339,Marie's Crisis
83,40.7493849,-73.995856,Walter's Bar
84,40.748572855,-73.8925004494,Ready Penny Inn
85,40.73678,-73.95517,Saint Vitus
86,40.73773,-73.98125,McSwiggan's Bar
87,40.80035,-73.96846,Tap A Keg
88,40.72598,-73.99502,Bleecker Street Bar
89,40.7140068765,-73.9527341212,Rocka Rolla
90,40.77548,-73.9538,Brady's Bar
91,40.71348,-73.96166,Luckydog
92,40.7808542201,-73.9493411755,DTUT
93,40.7337739577,-74.0022987681,Kettle of Fish
94,40.71965,-73.99516,Tropical 128
95,40.6867587,-73.9548362,Do or Dive
96,40.71559,-74.04256,Golden Cicada Tavern
97,40.717529,-73.956268,The Abbey Bar
98,40.78142,-73.94857,Reif's Tavern
99,40.718555,-74.009078,Puffy's Tavern
100,40.73203,-73.98377,Crocodile Lounge
101,40.72802,-73.98128,11th Street Bar
102,40.7250383471,-73.9814463982,7B Horseshoe Bar aka Vazacs
103,40.7127691,-73.9579152,Dardy Bar
104,40.7139768735,-73.9488170339,Alligator Lounge
105,40.72434,-73.9829199,Ace Bar
106,40.73832,-73.99836,Offside Tavern
107,40.79341,-74.0028899,The Wild Rover Pub
108,40.764828,-73.9914,123 Burger Shot Beer
109,40.7364240384,-73.9848463082,Paddy Maguire's Ale House
110,40.78953,-74.05635,Charlie's Corner
111,40.7210078,-73.9832434,Parkside Lounge
112,40.7285899,-73.98499,Coyote Ugly
113,40.7163303848,-73.9617204666,The Levee
114,40.72837,-73.99931,Wicked Willy's
115,40.728873,-73.987257,Sly Fox
116,40.715863,-73.962168,Skinny Dennis
117,40.7393112183,-74.0021743774,McKenna's Pub
118,40.7205828184,-73.9550800451,Turkey's Nest Tavern
119,40.77526,-73.947967,Bailey's Corner Pub
120,40.7322116601,-73.9853242224,Finnerty's
121,40.7226340287,-73.9831700693,Mama's Bar
122,40.718269138,-73.9906029881,RPM Bar
123,40.71809,-73.950325,Pete's Candy Store
124,40.69144,-73.99786,Montero's Bar & Grill
125,40.6893199,-73.9694748,Alibi
126,40.7552,-73.92728,Veronica's Bar
127,40.7274208069,-73.9862136841,Blue & Gold Tavern
128,40.894413,-74.044136,The Straphanger
129,40.683803,-73.956474,Tip Top Bar & Grill
130,40.72643,-73.98581,International Bar
131,40.694531,-73.930436,Lone Wolf
132,40.72954,-73.98744,The 13th Step
133,40.7464981,-74.0322495,Finnegan's Pub
134,40.7656147384,-73.9266823721,Kelly's Bar & Grill
135,40.745937,-73.90358,Station Cafe
136,40.6907799,-73.9957,"Floyd, NY"
137,40.6858558655,-73.9885482788,The Brooklyn Inn
138,40.677056,-73.972049,Sharlene's
139,40.6779403687,-73.9859924316,Canal Bar
140,40.69808,-73.92661,Gotham City Lounge
141,40.7183462872,-73.9599883275,Zablozki's
142,40.7790307826,-73.9508314974,Gaf East
143,40.72594,-73.9892179,Queen Vic
144,40.71993,-73.98726,The Magician
145,40.72989,-73.99938,Triona's
146,40.7124,-73.95672,Full Circle Bar
147,40.67823,-73.96835,Soda Bar
148,40.73551,-74.05239,Bobby Dees
149,40.7389297485,-73.9998703003,Flannery's Bar
150,40.6781997681,-73.9836044312,Lucky 13 Saloon
151,40.707908,-73.95565,Trophy Bar
152,40.8190601,-73.9375182,A Touch of Dee
153,40.7118301392,-73.9571762085,Jackbar
154,40.774757489,-73.9121600308,O'Hanlon's Bar
155,40.7376460594,-74.0037469224,Cubbyhole
156,40.7256691636,-73.9451066667,Goldie's
157,40.711063,-73.947418,Bushwick Country Club
158,40.77797,-73.94822,Phil Hughes Bar
159,40.73067,-74.00104,3 Sheets Saloon
160,40.68409,-73.9924,Angry Wade's
161,40.72967,-73.9896,Continental
162,40.6631969,-73.991061,Freddy's Bar
163,40.7034573513,-73.9261935569,The Three Diamond Door
164,40.7316597,-73.9829479,O'hanlon's
165,40.7504952387,-73.9764696447,The Upstairs Pub
166,40.7109413147,-73.9646453857,East River Bar
167,40.6820928216,-73.9801469758,Pacific Standard
168,40.73341,-74.00544,The Hangar Bar
169,40.73431,-73.955215,Tommy's Tavern
170,40.7193823,-73.9893853,Max Fish
171,40.7673464647,-73.9212899134,McCaffrey & Burke Bar & Grill
172,40.7072411,-73.9394913,Post No Bills
173,40.7731910082,-73.9113436729,Astoria Tavern
174,40.727607,-73.954154,Irene's Capri Lounge
175,40.76173,-73.91103,The Quays Pub
176,40.711614,-73.946819,Lady Jay's
177,40.71138,-73.949241,Ontario
178,40.885126,-73.900247,The Punch Bowl
179,40.7657546997,-73.9147491455,Irish Rover
180,40.81397,-73.94676,American Legion Post 398
181,40.72598,-74.05222,Healy's Tavern
182,40.71898,-73.95832,George & Jacks Tap Room
183,40.72124,-74.04452,The Keyhole
184,40.766158,-73.912811,Sissy McGinty's
185,40.71327,-73.95856,Clem's
186,40.67315,-74.01224,Rocky Sullivan's
187,40.6974875593,-73.9313730541,Birdy's
188,40.7190548557,-74.0437984644,Pint
189,40.67569,-74.01689,Sunny's Bar
190,40.733807,-74.000085,Pieces
191,40.74331,-73.92368,The Courtyard Ale House
192,40.7181519,-73.9576854,Charleston
193,40.7082253,-73.9400793,Tradesman
194,40.700852,-73.914041,Old Stanley's
195,40.72297,-73.98596,2A
196,40.6631983,-73.9846852,American Cheez
197,40.7997817993,-74.0080947876,Brass Rail Pub
198,40.7235984802,-73.9509506226,Irene's Place
199,40.7132099,-73.95779,Maracuja Bar & Grill
200,40.72067,-74.08183,New Park Tavern
201,40.8400965351,-74.0056979656,Colonial Bar & Liquors
202,40.7067259127,-73.9233380556,The Cobra Club
203,40.675862,-73.950236,Nostrand Avenue Pub
204,40.71314,-73.95811,Midway Bar
205,40.7616757607,-73.9243560785,Gilbey's
206,40.73805,-74.00377,Corner Bistro
207,40.7195074047,-73.955852961,Soft Spot Bar
208,40.7468936,-73.8962587,The Executive Cafe 69 Bar
209,40.6224294,-74.0255152,The Hide Out
210,40.7702415,-73.9124673,Albatross Bar
211,40.7265188815,-73.9904201031,Stillwater Bar & Grill
212,40.72985,-74.0003,MacDougal Street Ale House
213,40.6975587,-73.931648,Happyfun Hideaway
214,40.74617,-74.02856,8th Street Tavern
215,40.7497616,-73.9391948,First Stop Bar & Grill
216,40.70709,-73.9325,Wayward Social
217,40.76074,-73.99062,9th Avenue Saloon
218,40.67487,-73.98137,The Commissioner
