,address_type,agency,agency_name,bbl,borough,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_type,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,status,street_name,unique_key,x_coordinate_state_plane,y_coordinate_state_plane,created_time,lonlat,geometry
0,ADDRESS,NYPD,New York City Police Department,1001620038,MANHATTAN,NEW YORK,2017-01-21T04:19:59.000,03 MANHATTAN,Drinking,2017-01-21 03:30:08,BEND,BEND,In Public,2017-01-21T11:30:08.000,Precinct,7 DOYER STREET,10013,,,,40.7144008689,"{u'type': u'Point', u'coordinates': [-73.998095381922, 40.714400868923]}",Street/Sidewalk,-73.9980953819,PHONE,MANHATTAN,Unspecified,2017-01-21T04:19:59.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,DOYER STREET,35299278,984778,199552,03:30:08,"(-73.99809538192159, 40.71440086892275)",POINT (-73.99809538192159 40.71440086892275)
1,INTERSECTION,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2017-01-22T02:37:01.000,07 MANHATTAN,Drinking,2017-01-21 23:47:56,,,In Public,2017-01-22T07:47:56.000,Precinct,,10025,WEST   95 STREET,BROADWAY,,40.7939814562,"{u'type': u'Point', u'coordinates': [-73.972281405205, 40.79398145623]}",Street/Sidewalk,-73.9722814052,PHONE,MANHATTAN,Unspecified,2017-01-22T02:37:01.000,The Police Department responded to the complaint and determined that police action was not necessary.,Closed,,35301909,991925,228547,23:47:56,"(-73.97228140520521, 40.79398145623041)",POINT (-73.97228140520521 40.79398145623041)
2,ADDRESS,NYPD,New York City Police Department,1007760004,MANHATTAN,NEW YORK,2017-02-08T22:19:36.000,05 MANHATTAN,Drinking,2017-02-08 22:00:45,WEST 26 STREET,WEST 27 STREET,In Public,2017-02-09T06:00:45.000,Precinct,330 8 AVENUE,10001,,,,40.7475108214,"{u'type': u'Point', u'coordinates': [-73.996863758148, 40.747510821429]}",Residential Building/House,-73.9968637581,PHONE,MANHATTAN,Unspecified,2017-02-08T22:19:36.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,8 AVENUE,35444814,985119,211615,22:00:45,"(-73.9968637581482, 40.74751082142942)",POINT (-73.99686375814819 40.74751082142942)
3,INTERSECTION,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2017-02-17T23:03:20.000,04 MANHATTAN,Drinking,2017-02-17 21:17:28,,,In Public,2017-02-18T05:17:28.000,Precinct,,10001,WEST   26 STREET,7 AVENUE,,40.746003854,"{u'type': u'Point', u'coordinates': [-73.994261781646, 40.746003854012]}",Street/Sidewalk,-73.9942617816,PHONE,MANHATTAN,Unspecified,2017-02-17T23:03:20.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,,35515133,985840,211066,21:17:28,"(-73.99426178164569, 40.746003854012095)",POINT (-73.99426178164569 40.74600385401209)
4,ADDRESS,NYPD,New York City Police Department,1016240009,MANHATTAN,NEW YORK,2017-02-20T01:13:55.000,11 MANHATTAN,Drinking,2017-02-20 00:33:09,PARK AVENUE,LEXINGTON AVENUE,In Public,2017-02-20T08:33:09.000,Precinct,119 EAST 96 STREET,10128,,,,40.7861796122,"{u'type': u'Point', u'coordinates': [-73.951654322461, 40.786179612162]}",Residential Building/House,-73.9516543225,PHONE,MANHATTAN,Unspecified,2017-02-20T01:13:55.000,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,Closed,EAST 96 STREET,35531083,997638,225707,00:33:09,"(-73.9516543224606, 40.78617961216196)",POINT (-73.9516543224606 40.78617961216196)
5,ADDRESS,NYPD,New York City Police Department,1017100021,MANHATTAN,NEW YORK,2017-03-11T01:02:05.000,11 MANHATTAN,Drinking,2017-03-11 00:46:31,1 AVENUE,PLEASANT AVENUE,In Public,2017-03-11T08:46:31.000,Precinct,449 EAST 116 STREET,10029,,,,40.795450836,"{u'type': u'Point', u'coordinates': [-73.934077040065, 40.795450836014]}",Residential Building/House,-73.9340770401,PHONE,MANHATTAN,Unspecified,2017-03-11T01:02:05.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,EAST 116 STREET,35671913,1002503,229088,00:46:31,"(-73.9340770400646, 40.79545083601409)",POINT (-73.93407704006459 40.79545083601409)
6,ADDRESS,NYPD,New York City Police Department,1005270007,MANHATTAN,NEW YORK,2017-03-19T01:59:33.000,02 MANHATTAN,Drinking,2017-03-18 23:13:58,BEND,DOWNING STREET,In Public,2017-03-19T07:13:58.000,Precinct,14 BEDFORD STREET,10014,,,,40.7290798,"{u'type': u'Point', u'coordinates': [-74.003492568975, 40.729079800001]}",Club/Bar/Restaurant,-74.003492569,PHONE,MANHATTAN,Unspecified,2017-03-19T01:59:33.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,BEDFORD STREET,35740642,983282,204900,23:13:58,"(-74.00349256897498, 40.72907980000101)",POINT (-74.00349256897498 40.72907980000101)
7,ADDRESS,NYPD,New York City Police Department,1020090018,MANHATTAN,NEW YORK,2017-03-25T07:33:08.000,10 MANHATTAN,Drinking,2017-03-24 23:43:09,LENOX AVENUE,7 AVENUE,In Public,2017-03-25T07:43:09.000,Precinct,143 WEST 140 STREET,10030,,,,40.8178784425,"{u'type': u'Point', u'coordinates': [-73.939943754265, 40.817878442468]}",Street/Sidewalk,-73.9399437543,PHONE,MANHATTAN,Unspecified,2017-03-25T07:33:08.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,WEST 140 STREET,35782894,1000873,237258,23:43:09,"(-73.93994375426453, 40.81787844246842)",POINT (-73.93994375426453 40.81787844246842)
8,ADDRESS,NYPD,New York City Police Department,1019087504,MANHATTAN,NEW YORK,2017-04-09T03:45:34.000,10 MANHATTAN,Drinking,2017-04-09 02:06:49,LENOX AVENUE,7 AVENUE,In Public,2017-04-09T10:06:49.000,Precinct,117 WEST 123 STREET,10027,,,,40.8068070436,"{u'type': u'Point', u'coordinates': [-73.947207121599, 40.806807043588]}",Street/Sidewalk,-73.9472071216,PHONE,MANHATTAN,Unspecified,2017-04-09T03:45:34.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,WEST 123 STREET,35897935,998865,233223,02:06:49,"(-73.94720712159923, 40.806807043588385)",POINT (-73.94720712159923 40.80680704358839)
9,ADDRESS,NYPD,New York City Police Department,1009330025,MANHATTAN,NEW YORK,2017-04-11T00:48:21.000,06 MANHATTAN,Drinking,2017-04-11 00:16:27,MOUNT CARMEL PLACE,1 AVENUE,In Public,2017-04-11T08:16:27.000,Precinct,344 EAST 28 STREET,10016,,,,40.7402953546,"{u'type': u'Point', u'coordinates': [-73.976951659804, 40.740295354644]}",Residential Building/House,-73.9769516598,PHONE,MANHATTAN,Unspecified,2017-04-11T00:48:21.000,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,Closed,EAST 28 STREET,35915587,990637,208987,00:16:27,"(-73.97695165980414, 40.740295354643706)",POINT (-73.97695165980414 40.74029535464371)
