,address_type,agency,agency_name,bbl,borough,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_type,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,status,street_name,unique_key,x_coordinate_state_plane,y_coordinate_state_plane,created_time,lonlat,geometry
0,ADDRESS,NYPD,New York City Police Department,1001940036,MANHATTAN,NEW YORK,2017-01-30T23:31:35.000,01 MANHATTAN,Urinating in Public,2017-01-30 21:49:50,WALKER STREET,LISPENARD STREET,N/A,2017-01-31T05:49:50.000,Precinct,411 BROADWAY,10013,,,,40.7190175501,"{u'type': u'Point', u'coordinates': [-74.002222208344, 40.719017550103]}",Street/Sidewalk,-74.0022222083,PHONE,MANHATTAN,Unspecified,2017-01-30T23:31:35.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,BROADWAY,35376637,983634,201234,21:49:50,"(-74.00222220834445, 40.719017550102805)",POINT (-74.00222220834445 40.71901755010281)
1,ADDRESS,NYPD,New York City Police Department,1001640029,MANHATTAN,NEW YORK,2017-03-10T02:14:01.000,03 MANHATTAN,Urinating in Public,2017-03-10 00:45:11,PELL STREET,BAYARD STREET,N/A,2017-03-10T08:45:11.000,Precinct,43 MOTT STREET,10013,,,,40.7152215614,"{u'type': u'Point', u'coordinates': [-73.998744668083, 40.715221561379]}",Street/Sidewalk,-73.9987446681,PHONE,MANHATTAN,Unspecified,2017-03-10T02:14:01.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,MOTT STREET,35662088,984598,199851,00:45:11,"(-73.99874466808255, 40.71522156137929)",POINT (-73.99874466808255 40.71522156137929)
2,ADDRESS,NYPD,New York City Police Department,1014590022,MANHATTAN,NEW YORK,2017-03-25T22:10:42.000,08 MANHATTAN,Urinating in Public,2017-03-25 21:53:53,1 AVENUE,YORK AVENUE,N/A,2017-03-26T05:53:53.000,Precinct,429 EAST 64 STREET,10065,,,,40.7622921189,"{u'type': u'Point', u'coordinates': [-73.958609745847, 40.762292118946]}",Residential Building/House,-73.9586097458,PHONE,MANHATTAN,Unspecified,2017-03-25T22:10:42.000,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,Closed,EAST 64 STREET,35791591,995716,217003,21:53:53,"(-73.95860974584663, 40.762292118946036)",POINT (-73.95860974584663 40.76229211894604)
3,BLOCKFACE,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2017-04-16T07:55:51.000,12 MANHATTAN,Urinating in Public,2017-04-16 03:46:59,BROADWAY,SEAMAN AVENUE,N/A,2017-04-16T11:46:59.000,Precinct,DYCKMAN STREET,10034,,,,40.8658653724,"{u'type': u'Point', u'coordinates': [-73.927665740849, 40.865865372368]}",Street/Sidewalk,-73.9276657408,PHONE,MANHATTAN,Unspecified,2017-04-16T07:55:51.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,DYCKMAN STREET,35958541,1004257,254744,03:46:59,"(-73.92766574084868, 40.86586537236765)",POINT (-73.92766574084868 40.86586537236765)
4,ADDRESS,NYPD,New York City Police Department,1004020063,MANHATTAN,NEW YORK,2017-04-30T01:13:46.000,03 MANHATTAN,Urinating in Public,2017-04-30 00:41:52,AVENUE A,AVENUE B,N/A,2017-04-30T08:41:52.000,Precinct,505 EAST 6 STREET,10009,,,,40.7253046365,"{u'type': u'Point', u'coordinates': [-73.983541118625, 40.7253046365]}",Club/Bar/Restaurant,-73.9835411186,PHONE,MANHATTAN,Unspecified,2017-04-30T01:13:46.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,EAST 6 STREET,36062145,988812,203525,00:41:52,"(-73.98354111862506, 40.725304636499814)",POINT (-73.98354111862506 40.72530463649981)
5,INTERSECTION,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2017-05-02T18:05:32.000,12 MANHATTAN,Urinating in Public,2017-04-30 23:59:17,,,N/A,2017-05-01T07:59:17.000,Precinct,,10040,WADSWORTH AVENUE,ST NICHOLAS AVENUE,,40.8566052198,"{u'type': u'Point', u'coordinates': [-73.928409645823, 40.856605219781]}",Street/Sidewalk,-73.9284096458,PHONE,MANHATTAN,Unspecified,2017-05-02T18:05:32.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,,36070093,1004054,251370,23:59:17,"(-73.92840964582264, 40.85660521978086)",POINT (-73.92840964582264 40.85660521978086)
6,INTERSECTION,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2017-06-01T21:52:33.000,12 MANHATTAN,Urinating in Public,2017-06-01 20:44:28,,,N/A,2017-06-02T04:44:28.000,Precinct,,10033,WEST  181 STREET,FORT WASHINGTON AVENUE,,40.8509074315,"{u'type': u'Point', u'coordinates': [-73.938283732302, 40.850907431492]}",Street/Sidewalk,-73.9382837323,PHONE,MANHATTAN,Unspecified,2017-06-01T21:52:33.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,,36328540,1001324,249292,20:44:28,"(-73.93828373230163, 40.850907431491954)",POINT (-73.93828373230163 40.85090743149195)
7,ADDRESS,NYPD,New York City Police Department,1008197503,MANHATTAN,NEW YORK,2017-06-11T05:37:11.000,05 MANHATTAN,Urinating in Public,2017-06-11 01:48:47,5 AVENUE,AVENUE OF THE AMERICAS,N/A,2017-06-11T09:48:47.000,Precinct,32 WEST 18 STREET,10011,,,,40.73899918,"{u'type': u'Point', u'coordinates': [-73.992988562184, 40.738999179969]}",Store/Commercial,-73.9929885622,PHONE,MANHATTAN,Unspecified,2017-06-11T05:37:11.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,WEST 18 STREET,36411304,986193,208514,01:48:47,"(-73.99298856218356, 40.738999179968765)",POINT (-73.99298856218356 40.73899917996876)
8,INTERSECTION,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2017-06-15T22:43:12.000,03 MANHATTAN,Urinating in Public,2017-06-15 21:17:14,,,N/A,2017-06-16T05:17:14.000,Precinct,,10002,CHRYSTIE STREET,BROOME STREET,,40.7190695304,"{u'type': u'Point', u'coordinates': [-73.993358622149, 40.719069530423]}",Park/Playground,-73.9933586221,PHONE,MANHATTAN,Unspecified,2017-06-15T22:43:12.000,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,,36455987,986091,201253,21:17:14,"(-73.99335862214882, 40.71906953042286)",POINT (-73.99335862214882 40.71906953042286)
9,INTERSECTION,NYPD,New York City Police Department,,MANHATTAN,NEW YORK,2017-06-21T23:58:45.000,03 MANHATTAN,Urinating in Public,2017-06-21 23:27:39,,,N/A,2017-06-22T07:27:39.000,Precinct,,10009,EAST    3 STREET,AVENUE A,,40.7236497837,"{u'type': u'Point', u'coordinates': [-73.985284061819, 40.723649783682]}",Street/Sidewalk,-73.9852840618,PHONE,MANHATTAN,Unspecified,2017-06-21T23:58:45.000,The Police Department responded to the complaint and took action to fix the condition.,Closed,,36508743,988329,202922,23:27:39,"(-73.9852840618191, 40.723649783681545)",POINT (-73.9852840618191 40.72364978368154)
